target,target_type
CAMTA2,toi
CAMTA1,toi
BIRC5,toi
ARHGEF7,toi
ALUsq,ref
AKR1C1,toi
AHCY,toi
ECEL1,toi
DPYSL3,toi
DDC,toi
CPSG3,toi
CLSTN1,toi
CDKN3,toi
CDH5,toi
CDCA5,toi
CD44,toi
MRPL3,toi
MCM2,toi
MAPT,toi
MAP7,toi
MAP2K4,toi
INPP1,toi
IGSF4,toi
HPRT1,ref
HMBS,ref
HIVEP2,toi
GNB1,toi
FYN,toi
EPN2,toi
EPHA5,toi
EPB41L3,toi
ELAVL4,toi
PRKACB,toi
PRDM2,toi
PRAME,toi
PMP22,toi
PLAT,toi
PLAGL1,toi
PIK3R1,toi
PDE4DIP,toi
PAICS,toi
ODC1,toi
NTRK1,toi
NRCAM,toi
NM23A,toi
NHLH2,toi
MYCN,toi
MTSS1,toi
WSB1,toi
ULK2,toi
UBC,ref
TYMS,toi
TNFRSF,toi
SNAPC1,toi
SLC25A5,toi
SLC6A8,toi
SDHA,ref
SCG2,toi
QPCT,toi
PTPRN2,toi
PTPRH,toi
PTPRF,toi
PTN,toi
PRKCZ,toi
